time,instance,orders,time,averager_per_truck
2024-04-12.08:47:30,./INPUT/03.txt,100,495513,6.67
2024-04-12.08:47:35,./INPUT/03.txt,100,518912,6.67
2024-04-12.08:47:40,./INPUT/03.txt,95,510120,6.33
2024-04-12.08:47:45,./INPUT/03.txt,98,513452,6.53
2024-04-12.08:47:50,./INPUT/03.txt,100,494769,6.67
2024-04-12.08:56:01,./INPUT/03.txt,100,490644,6.67
2024-04-12.09:08:05,./INPUT/03.txt,98,505600,6.53
2024-04-12.09:08:10,./INPUT/03.txt,100,488572,6.67
2024-04-12.09:13:42,./INPUT/05.txt,159,693009,7.95
2024-04-12.09:13:37,./INPUT/05.txt,169,684724,8.45
2024-04-12.09:13:47,./INPUT/05.txt,165,686768,8.25
2024-04-12.09:13:57,./INPUT/05.txt,168,695485,8.40
2024-04-12.09:13:52,./INPUT/05.txt,165,693755,8.25
2024-04-12.09:14:02,./INPUT/05.txt,164,692815,8.20
2024-04-12.09:14:07,./INPUT/05.txt,162,691565,8.10
2024-04-12.09:14:12,./INPUT/05.txt,165,693076,8.25
2024-04-12.09:14:17,./INPUT/05.txt,167,692842,8.35
2024-04-12.09:14:22,./INPUT/05.txt,161,681654,8.05
2024-04-12.09:18:46,./INPUT/05.txt,167,691920,8.35
2024-04-12.09:18:45,./INPUT/05.txt,161,691633,8.05
2024-04-12.09:18:52,./INPUT/05.txt,165,696749,8.25
2024-04-12.09:19:00,./INPUT/05.txt,161,684875,8.05
2024-04-12.09:19:00,./INPUT/05.txt,155,670263,7.75
2024-04-12.09:19:08,./INPUT/05.txt,167,693366,8.35
2024-04-12.09:19:15,./INPUT/05.txt,162,706842,8.10
2024-04-12.09:19:27,./INPUT/05.txt,159,685602,7.95
2024-04-12.09:19:27,./INPUT/05.txt,165,693622,8.25
2024-04-12.09:19:34,./INPUT/05.txt,167,700643,8.35
2024-04-12.09:23:50,./INPUT/05.txt,163,674053,8.15
2024-04-12.09:24:02,./INPUT/05.txt,160,687403,8.00
2024-04-12.09:24:05,./INPUT/05.txt,163,691901,8.15
2024-04-12.09:23:54,./INPUT/05.txt,169,687508,8.45
2024-04-12.09:24:04,./INPUT/05.txt,165,691731,8.25
